track_id,label
0,Pedestrian
1,Pedestrian
2,Pedestrian
3,Pedestrian
4,Car
5,Pedestrian
6,Pedestrian
7,Pedestrian
8,Biker
9,Pedestrian
10,Biker
11,Biker
12,Biker
13,Pedestrian
14,Car
15,Pedestrian
16,Pedestrian
17,Pedestrian
18,Pedestrian
19,Pedestrian
20,Pedestrian
21,Pedestrian
22,Biker
23,Skater
24,Biker
25,Pedestrian
26,Pedestrian
27,Biker
28,Biker
29,Pedestrian
30,Pedestrian
31,Car
32,Pedestrian
33,Pedestrian
34,Pedestrian
35,Pedestrian
36,Pedestrian
37,Pedestrian
38,Pedestrian
39,Pedestrian
40,Biker
41,Biker
42,Pedestrian
43,Pedestrian
44,Biker
45,Biker
46,Biker
47,Biker
48,Pedestrian
49,Biker
50,Pedestrian
51,Skater
52,Skater
53,Skater
54,Pedestrian
55,Pedestrian
56,Pedestrian
57,Pedestrian
58,Biker
59,Pedestrian
60,Cart
61,Pedestrian
62,Pedestrian
63,Biker
64,Pedestrian
65,Pedestrian
66,Pedestrian
67,Pedestrian
68,Biker
69,Pedestrian
70,Cart
71,Biker
72,Pedestrian
73,Pedestrian
74,Pedestrian
75,Cart
76,Pedestrian
77,Pedestrian
78,Pedestrian
