track_id,label
0,Pedestrian
1,Pedestrian
2,Pedestrian
3,Biker
4,Pedestrian
5,Pedestrian
6,Pedestrian
7,Pedestrian
8,Pedestrian
9,Pedestrian
10,Pedestrian
11,Pedestrian
12,Pedestrian
13,Pedestrian
14,Pedestrian
15,Pedestrian
16,Pedestrian
17,Pedestrian
18,Pedestrian
19,Pedestrian
20,Pedestrian
21,Cart
22,Pedestrian
23,Pedestrian
24,Pedestrian
25,Pedestrian
26,Pedestrian
27,Biker
28,Pedestrian
29,Pedestrian
30,Pedestrian
31,Pedestrian
32,Pedestrian
33,Pedestrian
34,Pedestrian
35,Pedestrian
36,Skater
37,Pedestrian
38,Pedestrian
39,Pedestrian
40,Pedestrian
41,Biker
42,Pedestrian
43,Pedestrian
44,Pedestrian
45,Pedestrian
46,Biker
47,Pedestrian
48,Pedestrian
49,Pedestrian
50,Pedestrian
51,Pedestrian
52,Pedestrian
53,Pedestrian
54,Pedestrian
55,Pedestrian
56,Pedestrian
57,Pedestrian
58,Pedestrian
59,Pedestrian
60,Pedestrian
61,Pedestrian
62,Pedestrian
63,Pedestrian
64,Pedestrian
65,Pedestrian
66,Pedestrian
67,Pedestrian
68,Pedestrian
69,Pedestrian
70,Pedestrian
71,Pedestrian
72,Biker
73,Pedestrian
74,Pedestrian
75,Pedestrian
76,Pedestrian
77,Pedestrian
78,Pedestrian
79,Pedestrian
80,Pedestrian
81,Pedestrian
82,Pedestrian
83,Pedestrian
84,Biker
85,Pedestrian
86,Pedestrian
87,Pedestrian
88,Pedestrian
89,Pedestrian
90,Pedestrian
91,Pedestrian
92,Pedestrian
93,Pedestrian
94,Pedestrian
95,Pedestrian
96,Biker
97,Pedestrian
98,Pedestrian
99,Biker
100,Pedestrian
101,Pedestrian
102,Pedestrian
103,Cart
104,Pedestrian
105,Pedestrian
106,Pedestrian
107,Pedestrian
108,Pedestrian
109,Pedestrian
110,Pedestrian
111,Pedestrian
112,Pedestrian
113,Pedestrian
114,Biker
115,Pedestrian
116,Pedestrian
117,Pedestrian
118,Biker
119,Pedestrian
120,Pedestrian
121,Pedestrian
122,Pedestrian
123,Pedestrian
124,Pedestrian
125,Pedestrian
126,Pedestrian
